,dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
143,iris,3,sqrt-order,euclidean,9,0.9450000000000002,0.9458897769408208,0.945,0.9452138026656132
144,iris,4,uniform,manhattan,2,0.9448666666666666,0.9469577849344432,0.9448666666666666,0.9447567002314108
145,iris,4,uniform,manhattan,3,0.9459333333333332,0.9477154604870324,0.9459333333333332,0.9458465261443164
146,iris,4,uniform,manhattan,4,0.9444,0.9458820092321496,0.9443999999999998,0.9443223905520504
147,iris,4,uniform,manhattan,5,0.9454666666666666,0.9467516997519676,0.9454666666666666,0.945399669098798
148,iris,4,uniform,manhattan,6,0.9439333333333334,0.9451565504974516,0.9439333333333332,0.9438680420250692
149,iris,4,uniform,manhattan,7,0.9454,0.9464875801675972,0.9454,0.9453439801414749
150,iris,4,uniform,manhattan,8,0.946,0.9469535709683214,0.946,0.9459511781137312
151,iris,4,uniform,manhattan,9,0.9465333333333332,0.947374605512468,0.9465333333333332,0.9464906838799396
152,iris,4,uniform,euclidean,2,0.9425333333333332,0.9459005215343518,0.9425333333333332,0.9423640460067231
153,iris,4,uniform,euclidean,3,0.9445333333333332,0.946985691971936,0.9445333333333332,0.9444280403822236
154,iris,4,uniform,euclidean,4,0.9459333333333336,0.9478691032468798,0.9459333333333332,0.9458496758803252
155,iris,4,uniform,euclidean,5,0.9442,0.9459216713173622,0.9442,0.9441230878518836
156,iris,4,uniform,euclidean,6,0.9449333333333332,0.9464480437936112,0.9449333333333332,0.9448619891950756
157,iris,4,uniform,euclidean,7,0.9424666666666666,0.9438669850071444,0.9424666666666668,0.9423940922447572
158,iris,4,uniform,euclidean,8,0.9432666666666668,0.9447892853301658,0.9432666666666668,0.9431875338947804
159,iris,4,uniform,euclidean,9,0.9424666666666666,0.94372483821785,0.9424666666666668,0.9424016328916732
160,iris,4,distance,manhattan,2,0.9459333333333332,0.9462112844954635,0.9459333333333332,0.9459195676142303
161,iris,4,distance,manhattan,3,0.9474,0.947546303133447,0.9474,0.947392843469156
162,iris,4,distance,manhattan,4,0.948,0.9481185418911748,0.948,0.9479942367323374
163,iris,4,distance,manhattan,5,0.9449333333333334,0.9450279554634596,0.9449333333333334,0.94492823549704
164,iris,4,distance,manhattan,6,0.9462000000000002,0.9462697820153704,0.9462,0.9461964326724788
165,iris,4,distance,manhattan,7,0.9476000000000002,0.9476582843393768,0.9476,0.9475972261011616
166,iris,4,distance,manhattan,8,0.9475333333333336,0.9475946375986292,0.9475333333333332,0.947530312679127
167,iris,4,distance,manhattan,9,0.9466666666666668,0.9467313161795202,0.9466666666666668,0.9466634791848372
168,iris,4,distance,euclidean,2,0.9464,0.9470905649814464,0.9464,0.9464590228667952
169,iris,4,distance,euclidean,3,0.9489333333333332,0.9493398470263122,0.9489333333333332,0.9489827449559609
