dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
glass,2,sqrt-order,2,4,0.7210747663551402,0.6858072612175374,0.6935149188221676,0.6861964032286229
glass,2,sqrt-order,2,5,0.723644859813084,0.6874752984749889,0.6961075758735096,0.688429531950175
glass,2,sqrt-order,2,6,0.7265420560747664,0.6906722990681228,0.7007139355144852,0.6921373133998331
glass,2,sqrt-order,2,7,0.7292056074766358,0.6927430170212217,0.7018049377987191,0.6937892718681944
glass,2,sqrt-order,2,8,0.728644859813084,0.6918626864025457,0.7039742725731302,0.6943433819566258
glass,2,sqrt-order,2,9,0.7314018691588785,0.696531049833982,0.7062053597526,0.6979145204760707
glass,3,uniform,1,2,0.675,0.6406920293685304,0.5734372677111548,0.5914080867264637
glass,3,uniform,1,3,0.6918224299065422,0.6589096920653442,0.616564659088386,0.6280031008495124
glass,3,uniform,1,4,0.7021495327102804,0.6754092541367918,0.6404502018795015,0.6501460313072822
glass,3,uniform,1,5,0.7060747663551402,0.6754606791152681,0.6429090455004033,0.6515503706812449
glass,3,uniform,1,6,0.7106542056074765,0.6824119002041369,0.6528780525953848,0.6607021657148295
glass,3,uniform,1,7,0.7161682242990657,0.6874528548171752,0.6611933449741446,0.667502519657591
glass,3,uniform,1,8,0.7160747663551402,0.6902920048414506,0.662294878030012,0.6693626219425433
glass,3,uniform,1,9,0.7188785046728973,0.6904081084517767,0.6642126350641083,0.6706977718449278
glass,3,uniform,2,2,0.6496728971962616,0.5968092429347436,0.5356649731634785,0.5517732318883881
glass,3,uniform,2,3,0.6671495327102802,0.6311413746518948,0.573750235338524,0.5931992170984383
glass,3,uniform,2,4,0.6767757009345794,0.643574462259144,0.5946574791549704,0.6126857360903346
glass,3,uniform,2,5,0.6772429906542053,0.6509590838129301,0.6044567139186013,0.6225974725973888
glass,3,uniform,2,6,0.6837850467289719,0.6580796460188658,0.6156247389333755,0.6322579841979599
glass,3,uniform,2,7,0.6801401869158878,0.6571170119484826,0.6166012926227776,0.6328403721467798
glass,3,uniform,2,8,0.6835514018691589,0.6580468444702906,0.6218204220199255,0.6363018787453567
glass,3,uniform,2,9,0.6821028037383177,0.6571711965288541,0.6218465995174653,0.636032374844341
glass,3,distance,1,2,0.6777102803738317,0.637995854228301,0.622846999218196,0.6246347740256006
glass,3,distance,1,3,0.6978504672897197,0.6597990831097055,0.6524014555207039,0.65160407684919
glass,3,distance,1,4,0.7077570093457943,0.6648919078190304,0.6634389814188042,0.6602261269352682
glass,3,distance,1,5,0.710140186915888,0.6706729330999758,0.6717929813307736,0.6674261988796951
glass,3,distance,1,6,0.7136448598130839,0.6742441867551047,0.6774552851373071,0.6725279110980946
glass,3,distance,1,7,0.7128504672897198,0.6704400595142951,0.6753859738087613,0.6694234576246932
glass,3,distance,1,8,0.7154672897196264,0.6750144303652336,0.6803983660521773,0.6748776043577824
glass,3,distance,1,9,0.7171028037383179,0.6763018102360415,0.6814994227281246,0.6754685051383265
glass,3,distance,2,2,0.6691588785046727,0.6192708893653016,0.5983681644885606,0.6033664915153035
glass,3,distance,2,3,0.6825233644859814,0.6425260129976283,0.6238201366482032,0.6295938791377038
glass,3,distance,2,4,0.6890654205607477,0.6525180610210685,0.6338067526807518,0.6404942051571423
glass,3,distance,2,5,0.6910280373831776,0.6557468149750034,0.6391300153175887,0.6450401942417601
glass,3,distance,2,6,0.6928971962616821,0.6598226695715661,0.641879509967078,0.6484870422201039
